consumer_complaint_narrative,product,issue,company_name,date_received,clean_text,word_count,lda_topic,nmf_topic
"Enhanced recovery placed a new collection account on my credit report. The original account was settled thrust XXXX on XXXX. XXXX telephone number is XXXX address XXXX XXXX XXXX XXXX Nebraska XXXX. Per my credit report the file states closed and paid with a, XXXX balance",Debt collection,Cont'd attempts collect debt not owed,ERC,4/13/2015,enhanced recovery placed new collection account credit report the original account was settled thrust telephone number address nebraska per credit report the file states closed and paid with balance,29,2,4
"On XX/XX/XXXX, I was notified by XXXX from my XXXX account that a collection debt was flagged. XXXX/XXXX and the collection agency they use XXXX XXXX XXXX XXXX ( ERC ) put a debt collection on my credit report and I never received a bill. This charge is from XX/XX/XXXX! I paid a previous balance in XX/XX/XXXX and the debt was paid. They also had my current address and current phone number which has not changed. I called XXXX/XXXX and have called the collection agency and complained about this. They are currently saying I owe a debt of XXXX which I do NOT. We have also learned the reason why I owe this is because when I paid for the service back in XX/XX/XXXX at one apartment and then had to move into another apartment 6 weeks later and transferred the service, they did not transfer the ENTIRE service! They have admitted the billing/ accounting error and have still demanded I pay the XXXX. After numerous complaints and numerous back and forth phone calls, a lady from their administration service has told me the bill is valid. After researching on this and I demanded them to send me a copy of the contract and paperwork, they have told me they can not produce it! So I am being told by these 2 ridiculous companies that I owe a debt of XXXX with no contract or paperwork and no previous bills ... When I paid the debts in XX/XX/XXXX, nothing was ever stated to me nor mailed. One more thing, both debts on my XXXX  credit report states PAID and CLOSED. So after reading this situation, please let me know if you can help me. Today during a conversation with XXXX/XXXX, they told me that the debt collection was through XXXX, the debt that was reported on my credit was through ERC. XXXX XXXX XXXX XXXX. I have also disputed this debt with XXXX, XXXX, and XXXX. I also have some screenshots saved and a few conversations recorded from XXXX/XXXX, and yes they were told they were being recorded. Thank you.",Debt collection,Attempts to collect debt not owed,ERC,2/3/2018,was notified from account that collection debt was flagged and the collection agency they use erc put debt collection credit report and never received bill this charge from paid previous balance and the debt was paid they also had current address and current phone number which has not changed called and have called the collection agency and complained about this they are currently saying owe debt which not have also learned the reason why owe this because when paid for the service back one apartment and then had move into another apartment weeks later and transferred the service they did not transfer the entire service they have admitted the billing accounting error and have still demanded pay the after numerous complaints and numerous back and forth phone calls lady from their administration service has told the bill valid after researching this and demanded them send copy the contract and paperwork they have told they can not produce being told these ridiculous companies that owe debt with contract paperwork and previous bills when paid the debts nothing was ever stated nor mailed one more thing both debts credit report states paid and closed after reading this situation please let know you can help today during conversation with they told that the debt collection was through the debt that was reported credit was through erc have also disputed this debt with and also have some screenshots saved and few conversations recorded from and yes they were told they were being recorded thank you,251,3,1
ERC started to report on my credit file without send me a 30 day right to dispute .... I had already paid the XXXX debt prior to them reporting and by law they have to notify me with the 30 day right to dispute.,Debt collection,Attempts to collect debt not owed,ERC,7/10/2017,erc started report credit file without send day right dispute had already paid the debt prior them reporting and law they have notify with the day right dispute,28,1,3
"Enhanced Recovery has XXXX filed a collection account against my credit reports for a bill to XXXX that I do not owe. The collection was originally placed last week. I verified with XXXX that the debt is not owed and Enhanced Recovery removed the collection. Today, Enhanced Recovery placed the collection back on my credit report.",Debt collection,Cont'd attempts collect debt not owed,ERC,4/15/2015,enhanced recovery has filed collection account against credit reports for bill that not owe the collection was originally placed last week verified with that the debt not owed and enhanced recovery removed the collection today enhanced recovery placed the collection back credit report,43,1,5
"I had an unpaid debt to the creditor XXXX XXXX XXXX XXXX for XXXX XXXX on a Wi-FI hotspot. The company XXXX offered me a settlement of {$120.00} to pay off the debt. I accepted and paid {$120.00} in full, online, on XXXX. I have a statement from my bank reflecting this payment and a letter downloaded from the XXXX Web site which corroborates the debt was paid in full. I had no reason to believe otherwise. 

On XXXX I received a letter via USPS from Enhanced Recovery Company , LLC which stated that I STILL owed a debt to XXXX XXXX XXXX XXXX of {$120.00}. They offered a settlement of {$54.00} for this debt which I already settled through XXXX.",Debt collection,Cont'd attempts collect debt not owed,ERC,8/25/2015,had unpaid debt the creditor for hotspot the company offered settlement pay off the debt accepted and paid full online have statement from bank reflecting this payment and letter downloaded from the web site which corroborates the debt was paid full had reason believe otherwise received letter via usps from enhanced recovery company llc which stated that still owed debt they offered settlement for this debt which already settled through,70,1,1
"This was a XXXX XXXX bill that I had in XXXX of XXXX. I was billed for this account in XX/XX/XXXX as well and was making monthly payments to keep the bill from going to collections. I continuously paid this bill up until XX/XX/XXXX and that was the last payment I made before XXXX sent this XXXX bill to a collections company called ERC for no reason because a payment was being made faithfully within 30 days each month. ERC is fraudulently reporting the bill started with them XX/XX/XXXX on my XXXX credit report. This is false, the last activity on this XXXX account was XX/XX/XXXX and verified with the original debtor XXXX. They also repeatedly call two to four times per day and I have had to block every number they call from!!!!!!",Debt collection,Attempts to collect debt not owed,ERC,4/28/2022,this was bill that had was billed for this account well and was making monthly payments keep the bill from going collections continuously paid this bill until and that was the last payment made before sent this bill collections company called erc for reason because payment was being made faithfully within days each month erc fraudulently reporting the bill started with them credit report this false the last activity this account was and verified with the original debtor they also repeatedly call two four times per day and have had block every number they call from,96,3,4
"I received a letter from ERC for a settlement amount on a previous debt. I paid the settlement amount in full and by the requested due date. Then a few weeks later, I received another letter requesting additional amount. I am not sure why the amount of this debt continues to change.",Debt collection,Attempts to collect debt not owed,ERC,12/29/2017,received letter from erc for settlement amount previous debt paid the settlement amount full and the requested due date then few weeks later received another letter requesting additional amount not sure why the amount this debt continues change,38,2,1
"I reached out to XXXX on XX/XX/XXXX to inquire about removing an old account from my credit profile. After speaking with the representative via chat, and advising they had this account with a balance due to equipment they failed to accept when I attempted to return. The representative advised they could credit my account for the equipment and would remove from collections. I was advised to wait XXXX weeks. On XX/XX/XXXX, I chatted with another representative to confirm account status. During that chat I specifically asked if they were pulling the credit account from Enhanced Recovery Collections, that representative advised yes and to continue to wait the time period provided. After the XXXX weeks advised passed, I reached out to Enhanced Recovery Collections to inquire if they received notification to remove from my credit profile, they did not have any note on file from XXXX. This interaction occurred on XX/XX/XXXX. After call with collection agency, I went back to chat with XXXX during this conversation he advised no note was placed on my account, and agent was not able to locate information and advised they could not assist. We had the same issue with my husband on they pulled his account from the same collection agency within a week. I have attached copies of chat transcripts and chat IDs to this case along with proof, with approval from my spouse, a copy of his report showing they do in-fact delete from the credit profile.",Debt collection,Attempts to collect debt not owed,ERC,11/10/2022,reached out inquire about removing old account from credit profile after speaking with the representative via chat and advising they had this account with balance due equipment they failed accept when attempted return the representative advised they could credit account for the equipment and would remove from collections was advised wait weeks chatted with another representative confirm account status during that chat specifically asked they were pulling the credit account from enhanced recovery collections that representative advised yes and continue wait the time period provided after the weeks advised passed reached out enhanced recovery collections inquire they received notification remove from credit profile they did not have any note file from this interaction occurred after call with collection agency went back chat with during this conversation advised note was placed account and agent was not able locate information and advised they could not assist had the same issue with husband they pulled his account from the same collection agency within week have attached copies chat transcripts and chat ids this case along with proof with approval from spouse copy his report showing they fact delete from the credit profile,189,3,1
I owed XXXX a cell phone bill for {$540.00}. I paid the collection agency Enhanced Recovery Co LLC in XXXX FL. I paid the debt in full before the due dates for payment. I was told that with in 30 days they will update as paid in full to the credit reporting agencies. As of the date of this complaint they have yet again verified the debt and are not showing it as paid in full. After I yet again disputed the debt on XX/XX/2019. This debt has been paid in full since XXXX XXXX a full 90 days from the time I paid and they are still validating the debt. I called and asked them to stop validating as it goes against debt collection practices. They only want to argue and refused to remedy the problems. I can submit bank records to prove the debt was indeed paid. As you see on both bank statements ERC from Florida is the collection agency I paid off.,Debt collection,Attempts to collect debt not owed,ERC,5/16/2019,owed cell phone bill for paid the collection agency enhanced recovery llc paid the debt full before the due dates for payment was told that with days they will update paid full the credit reporting agencies the date this complaint they have yet again verified the debt and are not showing paid full after yet again disputed the debt this debt has been paid full since full days from the time paid and they are still validating the debt called and asked them stop validating goes against debt collection practices they only want argue and refused remedy the problems can submit bank records prove the debt was indeed paid you see both bank statements erc from florida the collection agency paid off,122,3,1
"Collection agencies transferring a debt I do not owe and ruining my credit. Their original client XXXX XXXX fraudulently extended a contract after the person had moved to other citty and had returned the equipment. The fees were paid automatically thru a credit card and it was stopped when the person ( my aunt ) due to severe illness was moved from XXXX XXXX to XXXX and later passed away. 

I have extensive correspondence with the collection agency and the credit bureaus but since the deb was transfer to one and another my credit is being impaired. 

I will be glad to supply all the correspondence sustained with all concerned. And like I asked the collection agencies, lets take it to a court of equity and let a judge decide. I think this is the way we settle conflicting matters. In this case I ask for your help to protect my cretit",Debt collection,Attempts to collect debt not owed,ERC,6/27/2020,collection agencies transferring debt not owe and ruining credit their original client fraudulently extended contract after the person had moved other citty and had returned the equipment the fees were paid automatically thru credit card and was stopped when the person aunt due severe illness was moved from and later passed away have extensive correspondence with the collection agency and the credit bureaus but since the deb was transfer one and another credit being impaired will glad supply all the correspondence sustained with all concerned and like asked the collection agencies lets take court equity and let judge decide think this the way settle conflicting matters this case ask for your help protect cretit,114,3,1
"I made a settlement with enhanced recovery company and the issue was resolve, I was told that they would remove it off my credit file but not only am I still receiving calls stating I owe but it has not been removed of any of my files",Debt collection,Attempts to collect debt not owed,ERC,7/10/2020,made settlement with enhanced recovery company and the issue was resolve was told that they would remove off credit file but not only still receiving calls stating owe but has not been removed any files,35,1,5
I have an account that was opened with XXXX on XXXX. I called a representative of diversified consultant on XXXX XXXX to settle this account. The representative that was a man guaranteed me if i settled the account out that he would delete the account from my credit. I payed the account and was sent a letter. After discovering this account was still on my credit report not once but twice from two different companies. I called back to the company and they told me to call the other company because they held the account and they stated they would delete the account once again. When i called the other company they stated they held the account. I have called over and over and this account is not handle and is on my account twice affecting my credit in a bad way. I was promised a deletion but nothing was ever done.,Debt collection,Attempts to collect debt not owed,ERC,10/30/2017,have account that was opened with called representative diversified consultant settle this account the representative that was man guaranteed settled the account out that would delete the account from credit payed the account and was sent letter after discovering this account was still credit report not once but twice from two different companies called back the company and they told call the other company because they held the account and they stated they would delete the account once again when called the other company they stated they held the account have called over and over and this account not handle and account twice affecting credit bad way was promised deletion but nothing was ever done,115,3,1
"I had XXXX service bundled with XXXX phone service. When I canceled my account with XXXX they said I owed {$38.00} still for XXXX portion. I initially disputed this as I had paid my XXXX bill separately. XXXX said matter was resolved. 

Many months later, I received harassing phone calls and letters from XXXX XXXX XXXX regarding this supposed debt. In order to get rid of them, I paid {$38.00} to XXXX XXXX XXXX again, and was told that matter was finally resolved. 

Recently, I have been receiving harassing phone calls from ERC regarding this same 'debt ' that I have already paid twice. 

XXXX is harassing me and trying to extort money from me for a debt that has been paid twice. XXXX and ERC are threatening my credit unless I pay them this {$38.00} again. This is harassment and extortion and I want XXXX and their practices investigated. Even after I pay the collection agency of the month, XXXX finds another willing partner to attempt to extort money already paid. Please help.",Debt collection,Cont'd attempts collect debt not owed,ERC,1/16/2016,had service bundled with phone service when canceled account with they said owed still for portion initially disputed this had paid bill separately said matter was resolved many months later received harassing phone calls and letters from regarding this supposed debt order get rid them paid again and was told that matter was finally resolved recently have been receiving harassing phone calls from erc regarding this same debt that have already paid twice harassing and trying extort money from for debt that has been paid twice and erc are threatening credit unless pay them this again this harassment and extortion and want and their practices investigated even after pay the collection agency the month finds another willing partner attempt extort money already paid please help,125,2,1
"The dispute is with XXXX XXXX XXXX XXXX. I cancelled service with them in 2013 ; the account was paid in full at the time of cancellation. The XXXX technician came to my home, disconnected service and retrieved the equipment. Since then I have been harassed by them with collection calls and have had my non-existent account sent to XXXX collection agencies. I have copies of the communication which I will attach. In a nutshell, I am still being pursued by various collection agencies for this debt.",Debt collection,Cont'd attempts collect debt not owed,ERC,12/2/2015,the dispute with cancelled service with them the account was paid full the time cancellation the technician came home disconnected service and retrieved the equipment since then have been harassed them with collection calls and have had non existent account sent collection agencies have copies the communication which will attach nutshell still being pursued various collection agencies for this debt,60,3,1
"We constantly receive voice messages from ERC, early in the morning, late in the evenings, during the weekends, for collecting debts we do not have. 
The voicemail give a reference number and we have been advised not to contact them as they would do anything to make us pay something we do n't owe. We are non-residents in the US and have no credits, no debts anywhere.",Debt collection,Cont'd attempts collect debt not owed,ERC,12/8/2015,constantly receive voice messages from erc early the morning late the evenings during the weekends for collecting debts not have the voicemail give reference number and have been advised not contact them they would anything make pay something owe are non residents the and have credits debts anywhere,48,5,5
Enhanced Recovery Company submitted a collection on all XXXX of my credit reports stating I owe {$670.00} from a XXXX Cable/Cellular bill. I knew I did n't owe XXXX anything and called them to verify and they verified I was all clear of any debt. They were not aware of sending anything to ERC as a collection on my account. I have called ERC and they could n't find anything on me with what information I was giving them. Which proves its not me that the debt belongs to. I have disputed it with all credit bureaus and have not heard of anything. I have since applied for credit and have been denied due to Severe delinquency and debt collection on my credit reports. I have always had good payment history never late on my bills. This is affecting my credit score and is becoming a big nucense. I have read other customer complaints dealing with this same issue and it looks like it could be a scam. I am not getting anywhere with the credit bureaus and need this removed from my credit reports. Please help.,Debt collection,Cont'd attempts collect debt not owed,ERC,4/12/2015,enhanced recovery company submitted collection all credit reports stating owe from cable cellular bill knew did owe anything and called them verify and they verified was all clear any debt they were not aware sending anything erc collection account have called erc and they could find anything with what information was giving them which proves its not that the debt belongs have disputed with all credit bureaus and have not heard anything have since applied for credit and have been denied due severe delinquency and debt collection credit reports have always had good payment history never late bills this affecting credit score and becoming big nucense have read other customer complaints dealing with this same issue and looks like could scam not getting anywhere with the credit bureaus and need this removed from credit reports please help,137,1,5
"I get a phone call on my cell phone, almost every other day, from XXXX. My phone only rings once. I 've Googled the number and learned that they are a a debt collector. I have no outstanding debt. I have a credit score of XXXX. 
The XXXX call began XXXX XXXX, 2015. 
I want the calls stopped and any assistance you can provide would be very much appreciated. 
Sincerely, Frustrated",Debt collection,Cont'd attempts collect debt not owed,ERC,8/28/2015,get phone call cell phone almost every other day from phone only rings once googled the number and learned that they are debt collector have outstanding debt have credit score the call began want the calls stopped and any assistance you can provide would very much appreciated sincerely frustrated,49,2,1
"XXXX is charging for equipment which was picked up at the time of disconnection. The equipment was handed over to the technician. I have continuously disputed this on many occassions, yet they continue to report this debt. I have asked for the debt collection company to request proof, yet they do not send me anything. I am furious because they are allowed to report this debt, yet are not able to provide any proof as I have requested previously. I want to file a complaint against Enhanced Recovery company and XXXX as well.",Debt collection,Cont'd attempts collect debt not owed,ERC,5/28/2015,charging for equipment which was picked the time disconnection the equipment was handed over the technician have continuously disputed this many occassions yet they continue report this debt have asked for the debt collection company request proof yet they not send anything furious because they are allowed report this debt yet are not able provide any proof have requested previously want file complaint against enhanced recovery company and well,69,2,1
"received collections notice that company was collecting a debt for XXXX XXXX XXXX, offering me XXXX payment options, none of which equaled the amount I "" owed ''. i called XXXX XXXX XXXX and verified that my account was completely up to date.",Debt collection,Cont'd attempts collect debt not owed,ERC,4/15/2015,received collections notice that company was collecting debt for offering payment options none which equaled the amount owed called and verified that account was completely date,26,1,4
